department,regimen,eps,age_group,total,share,mode
VALLE DEL CAUCA,CONTRIBUTIVO,ASMETSALUD EPS,De 0 a 4 años,184,0.0180074378547661,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,ASMETSALUD EPS,De 05 a 09 años,183,0.01790957134468585,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,ASMETSALUD EPS,De 10 a 14 años,178,0.017420238794284598,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,ASMETSALUD EPS,De 15 a 19 años,593,0.05803484047758857,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,ASMETSALUD EPS,De 20 a 24 años,2224,0.2176551184184772,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,ASMETSALUD EPS,De 25 a 29 años,1864,0.182423174789587,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,ASMETSALUD EPS,De 30 a 34 años,1353,0.13241338813857897,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,ASMETSALUD EPS,De 35 a 39 años,896,0.08768839303190448,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,ASMETSALUD EPS,De 40 a 44 años,683,0.06684282638481112,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,ASMETSALUD EPS,De 45 a 49 años,526,0.05147778430221178,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,ASMETSALUD EPS,De 50 a 54 años,445,0.04355059698571149,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,ASMETSALUD EPS,De 55 a 59 años,324,0.031708749266001174,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,ASMETSALUD EPS,De 60 a 64 años,268,0.026228224701507145,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,ASMETSALUD EPS,De 65 a 69 años,249,0.024368761009982386,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,ASMETSALUD EPS,De 70 a 74 años,135,0.013211978860833822,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,ASMETSALUD EPS,De 75 a 79 años,68,0.006654922685457036,within_eps
