eps,account,year,value
CAPITAL SALUD.xlsx,Total Ingreso Operativo,2024,2129956.9
CAPITAL SALUD.xlsx,Total Ingreso Operativo,2023,1955662.95
CAPITAL SALUD.xlsx,Total Ingreso Operativo,2022,1699990.11
CAPITAL SALUD.xlsx,Total Ingreso Operativo,2021,1596129.84
CAPITAL SALUD.xlsx,Total Ingreso Operativo,2020,1338671.76
CAPITAL SALUD.xlsx,Total Ingreso Operativo,2019,1258077.79
CAPITAL SALUD.xlsx,Otros costos por naturaleza,2024,2213610.0
CAPITAL SALUD.xlsx,Otros costos por naturaleza,2023,1990240.0
CAPITAL SALUD.xlsx,Otros costos por naturaleza,2022,1718825.0
CAPITAL SALUD.xlsx,Otros costos por naturaleza,2021,1634261.0
CAPITAL SALUD.xlsx,Otros costos por naturaleza,2020,1401485.0
CAPITAL SALUD.xlsx,Otros costos por naturaleza,2019,1315874.0
CAPITAL SALUD.xlsx,Gastos de venta y distribución,2024,0.0
CAPITAL SALUD.xlsx,Gastos de venta y distribución,2023,0.0
CAPITAL SALUD.xlsx,Gastos de venta y distribución,2022,0.0
CAPITAL SALUD.xlsx,Gastos de venta y distribución,2021,0.0
CAPITAL SALUD.xlsx,Gastos de venta y distribución,2020,0.0
CAPITAL SALUD.xlsx,Gastos de venta y distribución,2019,-4430.22
CAPITAL SALUD.xlsx,Gastos administrativos,2024,-105322.66
CAPITAL SALUD.xlsx,Gastos administrativos,2023,-84028.1
CAPITAL SALUD.xlsx,Gastos administrativos,2022,-60657.55
CAPITAL SALUD.xlsx,Gastos administrativos,2021,-55404.01
CAPITAL SALUD.xlsx,Gastos administrativos,2020,-71851.82
CAPITAL SALUD.xlsx,Gastos administrativos,2019,-28463.2
CAPITAL SALUD.xlsx,"Gastos de depreciación, amortización y deterioro",2024,-122112.97
CAPITAL SALUD.xlsx,"Gastos de depreciación, amortización y deterioro",2023,-65246.61
CAPITAL SALUD.xlsx,"Gastos de depreciación, amortización y deterioro",2022,-48312.93
CAPITAL SALUD.xlsx,"Gastos de depreciación, amortización y deterioro",2021,-114685.42
CAPITAL SALUD.xlsx,"Gastos de depreciación, amortización y deterioro",2020,-35288.75
CAPITAL SALUD.xlsx,"Gastos de depreciación, amortización y deterioro",2019,-52416.79
CAPITAL SALUD.xlsx,Otros resultados operativos netos,2024,-2101404.43
CAPITAL SALUD.xlsx,Otros resultados operativos netos,2023,-1941654.47
CAPITAL SALUD.xlsx,Otros resultados operativos netos,2022,-1688866.73
CAPITAL SALUD.xlsx,Otros resultados operativos netos,2021,-1533135.0
CAPITAL SALUD.xlsx,Otros resultados operativos netos,2020,-1380877.92
CAPITAL SALUD.xlsx,Otros resultados operativos netos,2019,-1267428.2
CAPITAL SALUD.xlsx,Otros ingresos operativos,2024,0.0
CAPITAL SALUD.xlsx,Otros ingresos operativos,2023,647.73
CAPITAL SALUD.xlsx,Otros ingresos operativos,2022,0.0
CAPITAL SALUD.xlsx,Otros ingresos operativos,2021,0.0
CAPITAL SALUD.xlsx,Otros ingresos operativos,2020,0.0
CAPITAL SALUD.xlsx,Otros ingresos operativos,2019,0.0
CAPITAL SALUD.xlsx,Otros gastos operativos,2024,-2101404.43
CAPITAL SALUD.xlsx,Otros gastos operativos,2023,-1942302.2
CAPITAL SALUD.xlsx,Otros gastos operativos,2022,-1688866.73
CAPITAL SALUD.xlsx,Otros gastos operativos,2021,-1533135.0
CAPITAL SALUD.xlsx,Otros gastos operativos,2020,-1380877.92
CAPITAL SALUD.xlsx,Otros gastos operativos,2019,-1267428.2
CAPITAL SALUD.xlsx,Ganancia operativa (EBIT),2024,-198883.17
CAPITAL SALUD.xlsx,Ganancia operativa (EBIT),2023,-135913.95
CAPITAL SALUD.xlsx,Ganancia operativa (EBIT),2022,-97847.11
CAPITAL SALUD.xlsx,Ganancia operativa (EBIT),2021,-107094.58
CAPITAL SALUD.xlsx,Ganancia operativa (EBIT),2020,-149346.73
CAPITAL SALUD.xlsx,Ganancia operativa (EBIT),2019,-94660.62
CAPITAL SALUD.xlsx,EBITDA,2024,-76770.19
CAPITAL SALUD.xlsx,EBITDA,2023,-70667.34
CAPITAL SALUD.xlsx,EBITDA,2022,-49534.17
CAPITAL SALUD.xlsx,EBITDA,2021,7590.84
CAPITAL SALUD.xlsx,EBITDA,2020,-114057.98
CAPITAL SALUD.xlsx,EBITDA,2019,-42243.83
CAPITAL SALUD.xlsx,Resultado financiero,2024,31705.11
CAPITAL SALUD.xlsx,Resultado financiero,2023,43154.98
CAPITAL SALUD.xlsx,Resultado financiero,2022,29777.41
CAPITAL SALUD.xlsx,Resultado financiero,2021,6686.3
CAPITAL SALUD.xlsx,Resultado financiero,2020,9663.1
CAPITAL SALUD.xlsx,Resultado financiero,2019,8949.58
CAPITAL SALUD.xlsx,Ingresos financieros,2024,31705.11
CAPITAL SALUD.xlsx,Ingresos financieros,2023,43155.06
CAPITAL SALUD.xlsx,Ingresos financieros,2022,29778.52
CAPITAL SALUD.xlsx,Ingresos financieros,2021,6780.22
CAPITAL SALUD.xlsx,Ingresos financieros,2020,9735.66
CAPITAL SALUD.xlsx,Ingresos financieros,2019,9066.07
CAPITAL SALUD.xlsx,Otros ingresos financieros,2024,31705.11
CAPITAL SALUD.xlsx,Otros ingresos financieros,2023,43155.06
CAPITAL SALUD.xlsx,Otros ingresos financieros,2022,29778.52
CAPITAL SALUD.xlsx,Otros ingresos financieros,2021,6780.22
CAPITAL SALUD.xlsx,Otros ingresos financieros,2020,9735.66
CAPITAL SALUD.xlsx,Otros ingresos financieros,2019,9066.07
CAPITAL SALUD.xlsx,Gastos financieros,2024,0.0
CAPITAL SALUD.xlsx,Gastos financieros,2023,-0.08
CAPITAL SALUD.xlsx,Gastos financieros,2022,-1.1
CAPITAL SALUD.xlsx,Gastos financieros,2021,-93.93
CAPITAL SALUD.xlsx,Gastos financieros,2020,-72.56
CAPITAL SALUD.xlsx,Gastos financieros,2019,-116.49
CAPITAL SALUD.xlsx,Otros gastos financieros,2024,0.0
CAPITAL SALUD.xlsx,Otros gastos financieros,2023,-0.08
CAPITAL SALUD.xlsx,Otros gastos financieros,2022,-1.1
CAPITAL SALUD.xlsx,Otros gastos financieros,2021,-93.93
CAPITAL SALUD.xlsx,Otros gastos financieros,2020,-72.56
CAPITAL SALUD.xlsx,Otros gastos financieros,2019,-116.49
CAPITAL SALUD.xlsx,Otros resultados no operativos netos,2024,6753.09
CAPITAL SALUD.xlsx,Otros resultados no operativos netos,2023,-19623.69
CAPITAL SALUD.xlsx,Otros resultados no operativos netos,2022,73490.92
CAPITAL SALUD.xlsx,Otros resultados no operativos netos,2021,90286.98
CAPITAL SALUD.xlsx,Otros resultados no operativos netos,2020,122797.79
CAPITAL SALUD.xlsx,Otros resultados no operativos netos,2019,42993.61
CAPITAL SALUD.xlsx,Otros ingresos,2024,13711.07
CAPITAL SALUD.xlsx,Otros ingresos,2023,17038.47
CAPITAL SALUD.xlsx,Otros ingresos,2022,107638.73
CAPITAL SALUD.xlsx,Otros ingresos,2021,96957.58
CAPITAL SALUD.xlsx,Otros ingresos,2020,123325.63
CAPITAL SALUD.xlsx,Otros ingresos,2019,43463.03
CAPITAL SALUD.xlsx,Otros gastos,2024,-6957.98
CAPITAL SALUD.xlsx,Otros gastos,2023,-36662.16
CAPITAL SALUD.xlsx,Otros gastos,2022,-34147.81
CAPITAL SALUD.xlsx,Otros gastos,2021,-6670.61
CAPITAL SALUD.xlsx,Otros gastos,2020,-527.84
CAPITAL SALUD.xlsx,Otros gastos,2019,-469.42
CAPITAL SALUD.xlsx,Ganancias antes de impuestos,2024,-94118.2
CAPITAL SALUD.xlsx,Ganancias antes de impuestos,2023,-90235.63
CAPITAL SALUD.xlsx,Ganancias antes de impuestos,2022,5421.23
CAPITAL SALUD.xlsx,Ganancias antes de impuestos,2021,-10121.3
CAPITAL SALUD.xlsx,Ganancias antes de impuestos,2020,-16885.84
CAPITAL SALUD.xlsx,Ganancias antes de impuestos,2019,-42717.43
CAPITAL SALUD.xlsx,Impuesto a la renta,2024,24630.76
CAPITAL SALUD.xlsx,Impuesto a la renta,2023,90696.78
CAPITAL SALUD.xlsx,Impuesto a la renta,2022,-4777.28
CAPITAL SALUD.xlsx,Impuesto a la renta,2021,-975.74
CAPITAL SALUD.xlsx,Impuesto a la renta,2020,2725.4
CAPITAL SALUD.xlsx,Impuesto a la renta,2019,0.0
CAPITAL SALUD.xlsx,Ganancias después de impuestos,2024,-69487.44
CAPITAL SALUD.xlsx,Ganancias después de impuestos,2023,461.15
CAPITAL SALUD.xlsx,Ganancias después de impuestos,2022,643.95
CAPITAL SALUD.xlsx,Ganancias después de impuestos,2021,-11097.05
CAPITAL SALUD.xlsx,Ganancias después de impuestos,2020,-14160.44
CAPITAL SALUD.xlsx,Ganancias después de impuestos,2019,-42717.43
CAPITAL SALUD.xlsx,Ganancia (Pérdida) Neta,2024,-69487.44
CAPITAL SALUD.xlsx,Ganancia (Pérdida) Neta,2023,461.15
CAPITAL SALUD.xlsx,Ganancia (Pérdida) Neta,2022,643.95
CAPITAL SALUD.xlsx,Ganancia (Pérdida) Neta,2021,-11097.05
CAPITAL SALUD.xlsx,Ganancia (Pérdida) Neta,2020,-14160.44
CAPITAL SALUD.xlsx,Ganancia (Pérdida) Neta,2019,-42717.43
CAPITAL SALUD.xlsx,Activos Totales,2024,477941.58
CAPITAL SALUD.xlsx,Activos Totales,2023,468373.02
CAPITAL SALUD.xlsx,Activos Totales,2022,420197.66
